O01,111010111010,R U2 R2' F R F' U2' R' F R F'
O02,111011010110,F R U R' U' S R U R' U' Fw'
O03,011010011011,Fw R U R' U' Fw' U' F R U R' U' F'
O04,110110110010,Fw R U R' U' Fw' U F R U R' U' F'
O05,011000001011,Rw' U2 R U R' U Rw
O06,110110100000,Rw U2 R' U' R U' Rw'
O07,000011011001,Rw U R' U R U2 Rw'
O08,000100110110,Rw' U' R U' R' U2 Rw
O09,100110010100,R U R' U' R' F R2 U R' U' F'
O10,001001010011,R U R' U R' F R F' R U2 R'
O11,010001001011,Rw' R2 U R' U R U2 R' U M'
O12,100100010110,M U2 R' U' R U' R' U2 R U M'
O13,000011001011,Rw U' Rw' U' Rw U Rw' y' R' U R
O14,100110000110,R' F R U R' F' R y' R U' R'
O15,001011001010,Lw' U' Lw L' U' L U Lw' U Lw
O16,100110100010,Rw U Rw' R U R' U' Rw U' Rw'
O17,011010010110,R U R' U R' F R F' U2 R' F R F'
O18,010010010111,F R U R' U y' R' U2 R' F R F'
O19,011010110010,Rw' R U R U R' U' Rw x R2' U R U' x'
O20,010010010010,Rw' R U R U R' U' Rw2 R2' U R U' Rw'
O21,000101000101,R U2 R' U' R U R' U' R U' R'
O22,101001000100,R U2' R2' U' R2 U' R2' U2' R
O23,000101000000,R2' D R' U2 R D' R' U2 R'
O24,000001000100,Lw' U' L U R U' Rw' F
O25,000100001000,R' F R B' R' F' R B
O26,100100100000,R U2 R' U' R U' R'
O27,000001001001,R U R' U R U2 R'
O28,010000000010,M' U M U2 M' U M
O29,001000110010,L2 U' L B L' U L2 U' Rw' U' Rw
O30,011000100010,R2' U R' B' R U' R2' U Lw U Lw'
O31,010110000001,R' U' F U R U' R' F' R
O32,010100000011,R Dw L' Dw' R' U Lw U Lw'
O33,000110000011,R U R' U' R' F R F'
O34,100010001010,R U R2' U' R' F R U R U' F'
O35,010100001010,R U2 R2 F R F' R U2 R'
O36,011010000100,L' U' L U' L' U L U L F' L' F
O37,000110011000,F R U' R' U' R U R' F'
O38,000010110001,R U R' U R U' R' U' R' F R F'
O39,000010100011,L F' L' U' L U F U' L'
O40,001010000110,R' F R U R' U' F' U R
O41,010101000010,R U' R' U2 R U y R U' R' U' F'
O42,000101010010,L' U L U2' L' U' y' L' U L U F
O43,000000111010,Fw' L' U' L U Fw
O44,111000000010,Fw R U R' U' Fw'
O45,101010000010,F R U R' U' F'
O46,010000111000,R' U' R' F R F' U R
O47,010110101001,F' L' U' L U L' U' L U F
O48,101011010100,F R U R' U' R U R' U' F'
O49,111011000100,R' F R' F' R2 U2 y R' F R F'
O50,111001000110,R B' R B R2' U2 F R' F' R
O51,101011000110,Fw R U R' U' R U R' U' Fw'
O52,010100111001,R U R' U R Dw' R U' R' F'
O53,111000101010,Rw' U' R U' R' U R U' R' U2 Rw
O54,111010101000,Rw U R' U R U' R' U R U2' Rw'
O55,111000111000,R U2 R2 U' R U' R' U2 F R F'
O56,010101010101,Fw R U R' U' Fw' F R U R' U' R U R' U' F'
O57,000010000010,R U R' U' M' U R U' Rw'
